pulse_id,range_id,toa_s,width_s,peak_power_W_1,peak_power_W_2,mean_power_W_1,mean_power_W_2,center_frequency_Hz,chirp_rate_Hz_per_s,reference_plane,units,edge_definition,calibration_id,available_at_s
1,1,2.665e-05,1e-05,1.15967143931525e-11,6.58646099822287e-12,1.15138878099729e-11,6.5378377229195e-12,-4592.76462232248,99968586475.9611,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,3.685e-05
2,1,0.00102665,1e-05,1.15981583141605e-11,6.58964200001666e-12,1.15180657449763e-11,6.54109226688622e-12,-4601.05420990775,99968848568.4531,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,0.00103685
3,1,0.00202665,1e-05,1.1600973791713e-11,6.59227279716838e-12,1.15253263529697e-11,6.54379767085459e-12,-4601.04837786572,99966634344.0796,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,0.00203685
4,1,0.00302665,1e-05,1.16083623353351e-11,6.59555763353135e-12,1.15286012386491e-11,6.54690725684302e-12,-4604.47512244166,99967669431.8635,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,0.00303685
