pulse_id,range_id,toa_s,width_s,peak_power_W_1,peak_power_W_2,mean_power_W_1,mean_power_W_2,center_frequency_Hz,chirp_rate_Hz_per_s,reference_plane,units,edge_definition,calibration_id,available_at_s
1,1,2.6672e-05,1e-05,1.01193058304803e-11,1.01175199310559e-11,9.06656949862352e-12,9.0660415693043e-12,-726.309534150387,99998757825.5647,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,3.8816e-05
2,1,0.001026672,1e-05,1.01193058304803e-11,1.01175199310559e-11,9.06656949862352e-12,9.0660415693043e-12,-726.309534150387,99998757825.5647,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,0.001038816
3,1,0.002026672,1e-05,1.01193058304803e-11,1.01175199310559e-11,9.06656949862352e-12,9.0660415693043e-12,-726.309534150387,99998757825.5647,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,0.002038816
4,1,0.003026672,1e-05,1.01193058304803e-11,1.01175199310559e-11,9.06656949862352e-12,9.0660415693043e-12,-726.309534150387,99998757825.5647,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,0.003038816
