pulse_id,range_id,toa_s,width_s,peak_power_W_1,peak_power_W_2,mean_power_W_1,mean_power_W_2,center_frequency_Hz,chirp_rate_Hz_per_s,reference_plane,units,edge_definition,calibration_id,available_at_s
1,1,2.665e-05,1e-05,9.08938224710421e-12,9.08835093960473e-12,9.02675301182338e-12,9.02617894275336e-12,-4596.23423380502,99969315415.1989,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,3.685e-05
2,1,0.00102665,1e-05,9.08938224710421e-12,9.08835093960473e-12,9.02675301182338e-12,9.02617894275336e-12,-4596.23423380502,99969315415.1989,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,0.00103685
3,1,0.00202665,1e-05,9.08938224710421e-12,9.08835093960473e-12,9.02675301182338e-12,9.02617894275336e-12,-4596.23423380502,99969315415.1989,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,0.00203685
4,1,0.00302665,1e-05,9.08938224710421e-12,9.08835093960473e-12,9.02675301182338e-12,9.02617894275336e-12,-4596.23423380502,99969315415.1989,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,0.00303685
