pulse_id,range_id,toa_s,width_s,peak_power_W_1,peak_power_W_2,mean_power_W_1,mean_power_W_2,center_frequency_Hz,chirp_rate_Hz_per_s,reference_plane,units,edge_definition,calibration_id,available_at_s
1,1,2.6672e-05,1e-05,1.29096285112692e-11,7.3320571942682e-12,1.15654378705174e-11,6.56744727613509e-12,-835.709457896639,99974948417.1624,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,3.8816e-05
2,1,0.001026672,1e-05,1.29074815792962e-11,7.32541621023528e-12,1.1570872861639e-11,6.57062934728292e-12,-843.525642988055,99986803198.6757,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,0.001038816
3,1,0.002026672,1e-05,1.29114062283681e-11,7.32993700724111e-12,1.15759577630684e-11,6.57364329468981e-12,-847.782550001569,100000440753.266,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,0.002038816
4,1,0.003026672,1e-05,1.29070996341813e-11,7.3324819138978e-12,1.15810130564917e-11,6.57622249061188e-12,-849.361580437604,100013349368.465,RP1_RX,sqrt_W,half_amplitude,rx-cal-20260907,0.003038816
